Month,Timestamp,Source IP,Target Asset,Attack Type,Bandwidth (Gbps),Duration (min),Status
January,2025-03-18 14:23:00,222.3.42.118,Web-Gateway-2,UDP Flood,20.38,7,Mitigated
January,2025-03-16 17:45:00,43.182.197.187,Web-Gateway-3,UDP Flood,20.22,9,Partial
January,2025-03-13 04:25:00,172.178.15.87,Web-Gateway-4,SYN Flood,31.75,5,Mitigated
January,2025-03-05 02:38:00,113.37.104.103,Web-Gateway-1,SYN Flood,19.42,6,Mitigated
January,2025-03-13 02:31:00,168.95.40.33,Web-Gateway-4,UDP Flood,31.68,8,Mitigated
January,2025-03-14 04:38:00,6.33.89.12,Web-Gateway-2,SYN Flood,41.23,7,Mitigated
January,2025-03-19 03:25:00,150.172.127.92,Web-Gateway-3,SYN Flood,26.9,10,Partial
January,2025-03-10 15:41:00,58.41.21.124,Web-Gateway-5,SYN Flood,39.91,7,Mitigated
January,2025-03-09 07:39:00,180.221.176.11,Web-Gateway-4,SYN Flood,41.25,5,Mitigated
January,2025-03-13 13:24:00,65.94.225.158,Web-Gateway-5,SYN Flood,31.83,8,Mitigated
January,2025-03-15 04:29:00,129.229.39.185,Web-Gateway-1,SYN Flood,27.38,9,Partial
January,2025-03-25 23:14:00,73.174.33.92,Web-Gateway-3,SYN Flood,20.91,10,Partial
January,2025-03-10 22:17:00,94.72.81.17,Web-Gateway-2,UDP Flood,39.91,11,Partial
January,2025-03-20 15:41:00,22.70.134.232,Web-Gateway-3,SYN Flood,33.89,10,Partial
January,2025-03-01 06:30:00,13.72.223.37,Web-Gateway-5,SYN Flood,25.77,8,Mitigated
January,2025-03-08 07:46:00,187.89.4.147,Web-Gateway-2,UDP Flood,33.03,8,Mitigated
January,2025-03-21 15:40:00,103.112.104.128,Web-Gateway-1,UDP Flood,42.89,10,Partial
January,2025-03-10 03:58:00,115.240.90.158,Web-Gateway-1,UDP Flood,41.85,7,Mitigated
January,2025-03-25 06:55:00,186.132.65.39,Web-Gateway-4,UDP Flood,23.24,3,Mitigated
January,2025-03-26 22:18:00,110.128.16.95,Web-Gateway-5,SYN Flood,27.77,4,Mitigated
January,2025-03-21 19:01:00,46.71.245.198,Web-Gateway-5,SYN Flood,32.01,10,Partial
January,2025-03-15 09:33:00,67.157.179.141,Web-Gateway-1,SYN Flood,20.16,3,Mitigated
January,2025-03-11 03:27:00,195.242.193.211,Web-Gateway-4,UDP Flood,27.24,6,Mitigated
January,2025-03-28 21:25:00,35.193.206.179,Web-Gateway-5,SYN Flood,44.27,8,Mitigated
January,2025-03-15 12:52:00,101.254.72.182,Web-Gateway-4,SYN Flood,38.27,6,Mitigated
January,2025-03-03 11:31:00,115.84.96.93,Web-Gateway-2,SYN Flood,43.76,7,Mitigated
January,2025-03-02 13:56:00,151.103.144.77,Web-Gateway-3,SYN Flood,42.23,7,Mitigated
January,2025-03-24 17:10:00,10.157.21.207,Web-Gateway-2,SYN Flood,44.67,10,Partial
January,2025-03-18 15:11:00,180.5.151.122,Web-Gateway-2,SYN Flood,29.97,10,Partial
January,2025-03-01 05:44:00,117.9.245.197,Web-Gateway-2,SYN Flood,43.44,9,Partial
January,2025-03-10 23:34:00,196.1.239.187,Web-Gateway-2,SYN Flood,43.49,10,Partial
January,2025-03-04 02:57:00,232.227.29.168,Web-Gateway-5,UDP Flood,39.11,10,Partial
February,2025-04-10 04:13:00,144.147.234.42,Web-Gateway-1,DNS Amplification,34.04,9,Mitigated
February,2025-04-04 00:14:00,254.173.205.201,Web-Gateway-1,DNS Amplification,50.84,12,Mitigated
February,2025-04-28 10:47:00,164.51.17.150,Web-Gateway-3,DNS Amplification,52.39,16,Partial
February,2025-04-06 03:39:00,249.39.95.123,Web-Gateway-4,DNS Amplification,33.13,10,Mitigated
February,2025-04-26 08:14:00,177.76.35.62,Web-Gateway-2,DNS Amplification,50.62,13,Partial
February,2025-04-07 03:51:00,156.234.16.155,Web-Gateway-4,DNS Amplification,29.74,12,Mitigated
February,2025-04-12 12:45:00,116.14.34.199,Web-Gateway-3,DNS Amplification,30.68,7,Mitigated
February,2025-04-12 13:23:00,113.112.180.135,Web-Gateway-2,DNS Amplification,38.23,9,Mitigated
February,2025-04-13 12:30:00,63.218.29.43,Web-Gateway-4,DNS Amplification,63.05,13,Partial
February,2025-04-21 22:08:00,89.179.186.111,Web-Gateway-3,DNS Amplification,49.92,12,Mitigated
February,2025-04-17 18:52:00,44.76.215.158,Web-Gateway-5,DNS Amplification,27.73,14,Partial
February,2025-04-27 06:07:00,171.6.197.52,Web-Gateway-4,DNS Amplification,61.2,8,Mitigated
February,2025-04-25 20:21:00,254.93.165.138,Web-Gateway-1,DNS Amplification,37.42,11,Mitigated
February,2025-04-05 22:14:00,154.161.169.138,Web-Gateway-1,DNS Amplification,58.21,11,Mitigated
February,2025-04-01 14:16:00,147.212.60.224,Web-Gateway-4,DNS Amplification,49.68,13,Partial
February,2025-04-16 07:07:00,165.44.200.67,Web-Gateway-3,DNS Amplification,29.79,13,Partial
February,2025-04-14 04:49:00,114.177.178.75,Web-Gateway-2,DNS Amplification,28.34,9,Mitigated
February,2025-04-24 19:33:00,209.243.195.127,Web-Gateway-4,DNS Amplification,48.61,14,Partial
February,2025-04-28 06:34:00,7.136.2.225,Web-Gateway-2,DNS Amplification,37.15,11,Mitigated
February,2025-04-11 19:59:00,148.16.3.60,Web-Gateway-1,DNS Amplification,46.02,12,Mitigated
February,2025-04-02 19:11:00,46.52.221.55,Web-Gateway-2,DNS Amplification,43.18,10,Mitigated
February,2025-04-23 09:04:00,231.225.221.7,Web-Gateway-1,DNS Amplification,45.52,11,Mitigated
February,2025-04-06 14:09:00,250.211.43.195,Web-Gateway-4,DNS Amplification,49.33,12,Mitigated
February,2025-04-02 13:52:00,30.132.158.209,Web-Gateway-1,DNS Amplification,34.26,6,Mitigated
February,2025-04-20 13:10:00,245.165.33.21,Web-Gateway-1,DNS Amplification,27.66,10,Mitigated
February,2025-04-04 06:02:00,235.73.157.130,Web-Gateway-5,DNS Amplification,32.68,10,Mitigated
February,2025-04-08 06:03:00,238.58.90.106,Web-Gateway-3,DNS Amplification,57.31,11,Mitigated
February,2025-04-22 21:41:00,245.98.7.25,Web-Gateway-2,DNS Amplification,39.61,8,Mitigated
February,2025-04-13 11:33:00,141.70.250.24,Web-Gateway-4,DNS Amplification,36.79,14,Partial
February,2025-04-12 03:59:00,65.195.75.85,Web-Gateway-5,DNS Amplification,44.17,13,Partial
February,2025-04-09 19:20:00,200.190.159.11,Web-Gateway-3,DNS Amplification,58.21,11,Mitigated
February,2025-04-08 09:15:00,247.58.186.220,Web-Gateway-5,DNS Amplification,48.55,13,Partial
February,2025-04-11 11:43:00,231.191.215.51,Web-Gateway-5,DNS Amplification,52.28,11,Mitigated
February,2025-04-14 22:26:00,140.91.234.241,Web-Gateway-2,DNS Amplification,38.14,13,Partial
February,2025-04-04 15:36:00,131.198.224.189,Web-Gateway-4,DNS Amplification,60.39,13,Partial
February,2025-04-04 03:03:00,205.137.133.81,Web-Gateway-1,DNS Amplification,59.86,15,Partial
February,2025-04-26 13:51:00,203.170.9.100,Web-Gateway-5,DNS Amplification,50.04,11,Mitigated
February,2025-04-21 10:10:00,199.3.50.38,Web-Gateway-2,DNS Amplification,59.47,14,Partial
February,2025-04-16 02:48:00,122.15.147.215,Web-Gateway-2,DNS Amplification,50.49,15,Partial
February,2025-04-28 05:18:00,14.175.173.43,Web-Gateway-4,DNS Amplification,51.68,13,Partial
February,2025-04-14 16:44:00,5.166.228.20,Web-Gateway-2,DNS Amplification,38.42,12,Mitigated
February,2025-04-16 13:52:00,179.147.202.14,Web-Gateway-4,DNS Amplification,36.63,11,Mitigated
February,2025-04-02 09:45:00,112.87.212.239,Web-Gateway-4,DNS Amplification,37.46,17,Partial
February,2025-04-18 04:17:00,93.72.229.55,Web-Gateway-5,DNS Amplification,49.08,15,Partial
February,2025-04-20 08:05:00,178.72.30.28,Web-Gateway-1,DNS Amplification,63.51,14,Partial
February,2025-04-23 06:32:00,224.184.49.223,Web-Gateway-1,DNS Amplification,32.51,9,Mitigated
February,2025-04-10 05:30:00,165.24.111.84,Web-Gateway-2,DNS Amplification,54.44,12,Mitigated
February,2025-04-15 02:54:00,171.3.13.207,Web-Gateway-4,DNS Amplification,38.64,11,Mitigated
February,2025-04-24 11:22:00,91.246.209.169,Web-Gateway-5,DNS Amplification,37.5,9,Mitigated
February,2025-04-14 16:50:00,99.104.188.198,Web-Gateway-5,DNS Amplification,65.35,13,Partial
February,2025-04-23 05:48:00,169.140.119.68,Web-Gateway-2,DNS Amplification,38.06,14,Partial
February,2025-04-20 14:01:00,35.58.97.18,Web-Gateway-5,DNS Amplification,54.2,11,Mitigated
February,2025-04-13 22:01:00,26.132.141.161,Web-Gateway-2,DNS Amplification,52.04,10,Mitigated
February,2025-04-10 00:56:00,150.176.189.36,Web-Gateway-2,DNS Amplification,35.37,12,Mitigated
February,2025-04-21 12:37:00,100.123.39.95,Web-Gateway-5,DNS Amplification,47.67,11,Mitigated
February,2025-04-15 21:43:00,139.58.43.53,Web-Gateway-3,DNS Amplification,40.68,10,Mitigated
February,2025-04-03 13:15:00,63.150.216.96,Web-Gateway-2,DNS Amplification,30.23,13,Partial
February,2025-04-10 10:53:00,154.64.63.99,Web-Gateway-4,DNS Amplification,56.76,12,Mitigated
February,2025-04-11 10:11:00,12.178.69.249,Web-Gateway-5,DNS Amplification,32.09,12,Mitigated
February,2025-04-17 08:05:00,129.73.70.142,Web-Gateway-4,DNS Amplification,37.66,14,Partial
February,2025-04-13 15:37:00,205.254.232.135,Web-Gateway-2,DNS Amplification,28.54,15,Partial
February,2025-04-25 13:00:00,204.45.133.190,Web-Gateway-1,DNS Amplification,26.89,10,Mitigated
February,2025-04-15 03:30:00,113.194.88.125,Web-Gateway-1,DNS Amplification,64.49,15,Partial
February,2025-04-20 21:02:00,15.85.184.94,Web-Gateway-5,DNS Amplification,28.36,9,Mitigated
February,2025-04-14 06:26:00,215.225.73.20,Web-Gateway-4,DNS Amplification,39.52,12,Mitigated
February,2025-04-15 20:03:00,187.217.81.154,Web-Gateway-2,DNS Amplification,28.62,10,Mitigated
February,2025-04-14 22:41:00,53.119.109.93,Web-Gateway-2,DNS Amplification,57.41,10,Mitigated
February,2025-04-23 04:12:00,112.91.115.97,Web-Gateway-2,DNS Amplification,59.37,13,Partial
February,2025-04-14 03:04:00,34.2.105.200,Web-Gateway-3,DNS Amplification,54.32,14,Partial
February,2025-04-09 21:30:00,35.254.55.176,Web-Gateway-2,DNS Amplification,50.18,15,Partial
February,2025-04-25 18:07:00,158.119.170.141,Web-Gateway-5,DNS Amplification,43.54,14,Partial
February,2025-04-11 14:55:00,88.52.157.161,Web-Gateway-1,DNS Amplification,64.84,10,Mitigated
February,2025-04-16 14:14:00,63.78.212.230,Web-Gateway-2,DNS Amplification,35.66,11,Mitigated
February,2025-04-10 07:28:00,225.32.140.58,Web-Gateway-5,DNS Amplification,45.5,12,Mitigated
February,2025-04-23 14:12:00,48.52.219.107,Web-Gateway-4,DNS Amplification,39.79,13,Partial
February,2025-04-26 02:18:00,29.180.212.38,Web-Gateway-5,DNS Amplification,36.97,12,Mitigated
February,2025-04-04 04:42:00,127.92.126.201,Web-Gateway-4,DNS Amplification,64.96,13,Partial
February,2025-04-20 05:52:00,238.6.106.240,Web-Gateway-3,DNS Amplification,46.96,13,Partial
February,2025-04-14 11:16:00,31.248.38.66,Web-Gateway-1,DNS Amplification,37.95,11,Mitigated
February,2025-04-21 08:25:00,148.88.64.184,Web-Gateway-4,DNS Amplification,34.82,11,Mitigated
February,2025-04-04 02:29:00,193.38.27.32,Web-Gateway-5,DNS Amplification,45.84,14,Partial
February,2025-04-24 20:43:00,36.50.75.61,Web-Gateway-3,DNS Amplification,36.92,17,Partial
February,2025-04-26 16:10:00,86.115.85.104,Web-Gateway-3,DNS Amplification,50.58,13,Partial
February,2025-04-28 11:13:00,140.110.103.27,Web-Gateway-5,DNS Amplification,63.48,10,Mitigated
February,2025-04-06 03:05:00,100.100.78.63,Web-Gateway-4,DNS Amplification,34.23,13,Partial
February,2025-04-26 22:47:00,141.101.129.83,Web-Gateway-4,DNS Amplification,29.4,13,Partial
February,2025-04-17 04:01:00,167.178.235.58,Web-Gateway-3,DNS Amplification,55.98,13,Partial
February,2025-04-25 12:42:00,121.33.45.17,Web-Gateway-2,DNS Amplification,50.02,11,Mitigated
February,2025-04-26 18:36:00,147.14.251.200,Web-Gateway-2,DNS Amplification,57.61,10,Mitigated
February,2025-04-20 19:05:00,175.140.170.74,Web-Gateway-5,DNS Amplification,66.76,11,Mitigated
February,2025-04-09 12:13:00,111.210.177.215,Web-Gateway-1,DNS Amplification,31.57,12,Mitigated
February,2025-04-08 07:17:00,210.35.216.185,Web-Gateway-3,DNS Amplification,66.2,13,Partial
February,2025-04-01 12:35:00,75.24.5.8,Web-Gateway-2,DNS Amplification,32.95,12,Mitigated
February,2025-04-11 20:34:00,112.189.25.53,Web-Gateway-3,DNS Amplification,52.06,12,Mitigated
February,2025-04-03 19:30:00,137.84.45.106,Web-Gateway-4,DNS Amplification,63.46,11,Mitigated
February,2025-04-14 12:46:00,71.177.31.242,Web-Gateway-2,DNS Amplification,54.03,12,Mitigated
February,2025-04-08 14:41:00,131.76.244.248,Web-Gateway-4,DNS Amplification,44.6,10,Mitigated
February,2025-04-04 16:59:00,6.93.123.53,Web-Gateway-2,DNS Amplification,50.92,12,Mitigated
February,2025-04-25 15:56:00,113.171.254.20,Web-Gateway-3,DNS Amplification,64.73,9,Mitigated
February,2025-04-07 22:47:00,91.180.65.121,Web-Gateway-5,DNS Amplification,35.69,11,Mitigated
March,2025-05-23 01:26:00,83.33.55.131,Web-Gateway-5,HTTP Flood,78.29,3,Mitigated
March,2025-05-04 17:58:00,236.169.151.232,Web-Gateway-2,HTTP Flood,51.98,4,Mitigated
March,2025-05-12 20:10:00,58.45.20.230,Web-Gateway-3,HTTP Flood,64.63,5,Mitigated
March,2025-05-28 18:48:00,132.190.183.112,Web-Gateway-5,HTTP Flood,66.52,5,Mitigated
March,2025-05-20 15:08:00,22.189.1.228,Web-Gateway-5,Mixed,76.72,3,Mitigated
March,2025-05-13 11:55:00,245.83.226.129,Web-Gateway-4,Mixed,65.08,7,Partial
March,2025-05-15 06:24:00,117.62.113.20,Web-Gateway-1,HTTP Flood,40.52,4,Mitigated
March,2025-05-04 20:59:00,238.212.208.185,Web-Gateway-4,Mixed,68.65,7,Partial
March,2025-05-24 06:44:00,162.46.94.203,Web-Gateway-2,Mixed,39.68,4,Mitigated
March,2025-05-01 07:30:00,159.107.176.146,Web-Gateway-3,HTTP Flood,51.84,6,Partial
March,2025-05-18 19:15:00,183.207.118.140,Web-Gateway-5,HTTP Flood,51.97,3,Mitigated
March,2025-05-14 03:27:00,252.186.227.160,Web-Gateway-2,HTTP Flood,41.81,3,Mitigated
March,2025-05-26 02:55:00,147.37.216.40,Web-Gateway-5,Mixed,66.16,6,Partial
March,2025-05-05 10:55:00,162.207.192.196,Web-Gateway-3,Mixed,36.82,4,Mitigated
March,2025-05-22 14:40:00,33.109.240.235,Web-Gateway-2,HTTP Flood,34.32,2,Mitigated
March,2025-05-20 20:42:00,254.87.44.160,Web-Gateway-5,Mixed,80.6,6,Partial
March,2025-05-01 15:53:00,125.36.16.34,Web-Gateway-2,HTTP Flood,81.62,3,Mitigated
March,2025-05-11 02:12:00,28.26.139.221,Web-Gateway-2,HTTP Flood,54.09,1,Mitigated
March,2025-05-01 16:08:00,134.33.199.225,Web-Gateway-2,HTTP Flood,39.17,5,Mitigated
March,2025-05-08 13:41:00,127.179.132.176,Web-Gateway-1,HTTP Flood,65.57,5,Mitigated
March,2025-05-21 23:26:00,253.130.189.240,Web-Gateway-1,HTTP Flood,78.16,5,Mitigated
March,2025-05-15 00:04:00,154.217.143.68,Web-Gateway-3,HTTP Flood,70.29,3,Mitigated
March,2025-05-27 07:54:00,183.91.209.3,Web-Gateway-3,HTTP Flood,39.14,5,Mitigated
March,2025-05-11 09:16:00,131.42.70.39,Web-Gateway-3,Mixed,44.77,5,Mitigated
March,2025-05-10 16:47:00,96.142.243.54,Web-Gateway-2,HTTP Flood,53.02,2,Mitigated
March,2025-05-21 10:36:00,103.246.204.116,Web-Gateway-1,Mixed,66.36,5,Mitigated
March,2025-05-28 06:29:00,170.59.240.104,Web-Gateway-5,HTTP Flood,79.89,4,Mitigated
March,2025-05-26 14:19:00,80.116.26.66,Web-Gateway-4,HTTP Flood,60.05,4,Mitigated
March,2025-05-15 04:54:00,240.68.126.38,Web-Gateway-4,Mixed,80.18,4,Mitigated
March,2025-05-26 10:32:00,224.132.35.155,Web-Gateway-1,Mixed,50.25,2,Mitigated
March,2025-05-24 00:10:00,234.33.33.61,Web-Gateway-1,HTTP Flood,42.75,5,Mitigated
March,2025-05-01 12:13:00,126.14.74.127,Web-Gateway-3,HTTP Flood,36.94,4,Mitigated
March,2025-05-03 01:51:00,79.216.159.174,Web-Gateway-4,Mixed,44.71,5,Mitigated
March,2025-05-24 13:21:00,141.181.199.71,Web-Gateway-2,HTTP Flood,52.57,8,Partial
March,2025-05-22 18:19:00,61.179.234.236,Web-Gateway-5,HTTP Flood,38.16,6,Partial
March,2025-05-23 14:48:00,9.184.90.14,Web-Gateway-5,HTTP Flood,76.79,3,Mitigated
March,2025-05-26 17:33:00,2.107.191.102,Web-Gateway-2,HTTP Flood,61.95,6,Partial
March,2025-05-14 14:27:00,63.123.81.213,Web-Gateway-3,Mixed,50.67,2,Mitigated
March,2025-05-15 22:35:00,245.156.81.149,Web-Gateway-5,HTTP Flood,49.3,7,Partial
March,2025-05-19 12:45:00,114.116.221.211,Web-Gateway-1,Mixed,38.73,6,Partial
March,2025-05-03 07:17:00,199.248.45.211,Web-Gateway-5,Mixed,35.21,2,Mitigated
March,2025-05-22 05:01:00,154.151.188.122,Web-Gateway-2,Mixed,64.07,6,Partial
March,2025-05-17 23:30:00,3.250.158.17,Web-Gateway-1,Mixed,81.07,5,Mitigated
March,2025-05-01 01:31:00,252.182.222.65,Web-Gateway-2,Mixed,50.56,7,Partial
March,2025-05-21 00:40:00,55.1.242.128,Web-Gateway-2,HTTP Flood,38.1,5,Mitigated
March,2025-05-16 17:34:00,54.255.21.160,Web-Gateway-5,Mixed,59.25,7,Partial
March,2025-05-20 16:31:00,18.71.38.185,Web-Gateway-2,Mixed,37.03,7,Partial
March,2025-05-28 05:07:00,202.141.45.51,Web-Gateway-2,Mixed,64.18,7,Partial
March,2025-05-18 01:04:00,159.113.102.19,Web-Gateway-3,Mixed,61.68,2,Mitigated
March,2025-05-12 08:21:00,135.152.150.183,Web-Gateway-4,Mixed,71.5,4,Mitigated
March,2025-05-13 11:16:00,73.140.182.162,Web-Gateway-4,Mixed,77.58,5,Mitigated
March,2025-05-25 18:27:00,96.180.106.162,Web-Gateway-3,Mixed,66.64,2,Mitigated
March,2025-05-26 05:35:00,57.19.18.130,Web-Gateway-1,Mixed,60.15,3,Mitigated
March,2025-05-09 23:38:00,13.64.162.212,Web-Gateway-2,Mixed,67.74,3,Mitigated
March,2025-05-08 01:40:00,100.19.158.193,Web-Gateway-2,HTTP Flood,33.7,6,Partial
March,2025-05-17 10:46:00,221.175.44.206,Web-Gateway-3,Mixed,81.67,3,Mitigated
March,2025-05-18 19:33:00,150.23.14.46,Web-Gateway-2,Mixed,45.21,6,Partial
March,2025-05-28 18:29:00,226.144.129.63,Web-Gateway-4,Mixed,39.26,1,Mitigated
March,2025-05-11 05:17:00,108.57.246.100,Web-Gateway-2,Mixed,56.85,2,Mitigated
March,2025-05-27 06:46:00,84.134.246.213,Web-Gateway-5,Mixed,78.19,4,Mitigated
March,2025-05-04 00:44:00,243.79.104.116,Web-Gateway-3,Mixed,43.74,4,Mitigated
March,2025-05-24 13:11:00,62.110.210.242,Web-Gateway-2,Mixed,41.0,1,Mitigated
March,2025-05-03 20:51:00,241.188.56.26,Web-Gateway-4,Mixed,65.67,3,Mitigated
March,2025-05-07 14:25:00,94.195.69.69,Web-Gateway-5,HTTP Flood,74.68,4,Mitigated
March,2025-05-22 19:10:00,204.235.108.224,Web-Gateway-2,Mixed,53.58,5,Mitigated
March,2025-05-25 12:46:00,41.254.120.211,Web-Gateway-1,Mixed,61.06,4,Mitigated
March,2025-05-14 23:18:00,132.33.109.88,Web-Gateway-5,HTTP Flood,79.94,5,Mitigated
March,2025-05-18 10:11:00,186.223.61.240,Web-Gateway-3,Mixed,79.15,4,Mitigated
March,2025-05-12 07:33:00,237.143.46.139,Web-Gateway-3,HTTP Flood,55.17,7,Partial
March,2025-05-28 04:02:00,60.98.61.242,Web-Gateway-5,Mixed,74.39,5,Mitigated
March,2025-05-20 09:56:00,189.148.200.48,Web-Gateway-2,Mixed,57.96,2,Mitigated
March,2025-05-18 01:11:00,17.85.132.189,Web-Gateway-4,HTTP Flood,68.77,5,Mitigated
March,2025-05-11 19:30:00,239.122.241.174,Web-Gateway-3,HTTP Flood,60.89,6,Partial
March,2025-05-19 23:40:00,179.179.163.247,Web-Gateway-1,HTTP Flood,62.36,5,Mitigated
March,2025-05-21 22:14:00,216.99.34.53,Web-Gateway-4,HTTP Flood,55.06,4,Mitigated
March,2025-05-05 06:54:00,47.255.246.186,Web-Gateway-5,Mixed,36.87,7,Partial
March,2025-05-17 01:46:00,225.73.170.75,Web-Gateway-3,Mixed,38.76,8,Partial
March,2025-05-12 09:45:00,34.112.37.80,Web-Gateway-2,HTTP Flood,37.17,7,Partial
March,2025-05-03 13:20:00,131.135.98.115,Web-Gateway-1,HTTP Flood,40.14,3,Mitigated
March,2025-05-06 01:03:00,43.116.203.45,Web-Gateway-4,Mixed,36.95,5,Mitigated
March,2025-05-26 22:19:00,75.7.82.34,Web-Gateway-3,Mixed,67.67,5,Mitigated
March,2025-05-23 07:14:00,78.190.80.234,Web-Gateway-2,HTTP Flood,43.71,6,Partial
March,2025-05-05 08:19:00,96.236.94.131,Web-Gateway-5,HTTP Flood,78.04,1,Mitigated
March,2025-05-17 04:16:00,200.141.72.59,Web-Gateway-2,Mixed,36.28,8,Partial
March,2025-05-23 20:43:00,113.239.24.98,Web-Gateway-1,Mixed,50.81,8,Partial
March,2025-05-14 05:38:00,64.19.169.238,Web-Gateway-2,Mixed,36.5,8,Partial
March,2025-05-28 18:19:00,205.34.218.113,Web-Gateway-5,Mixed,55.47,4,Mitigated
March,2025-05-12 06:49:00,102.144.150.137,Web-Gateway-2,HTTP Flood,62.19,6,Partial
March,2025-05-15 16:21:00,150.193.193.76,Web-Gateway-5,HTTP Flood,53.92,3,Mitigated
March,2025-05-12 08:51:00,187.83.28.204,Web-Gateway-3,Mixed,48.38,1,Mitigated
March,2025-05-08 22:38:00,222.210.157.100,Web-Gateway-4,HTTP Flood,46.54,3,Mitigated
March,2025-05-03 09:08:00,32.25.34.252,Web-Gateway-5,Mixed,36.61,7,Partial
March,2025-05-22 23:04:00,72.238.142.43,Web-Gateway-4,Mixed,62.96,6,Partial
March,2025-05-06 01:11:00,145.169.76.4,Web-Gateway-2,HTTP Flood,43.16,4,Mitigated
March,2025-05-20 08:38:00,208.212.230.208,Web-Gateway-1,HTTP Flood,67.23,1,Mitigated
March,2025-05-02 12:29:00,70.253.156.151,Web-Gateway-5,Mixed,69.69,6,Partial
March,2025-05-06 13:00:00,42.11.215.84,Web-Gateway-1,HTTP Flood,51.31,2,Mitigated
March,2025-05-14 18:20:00,147.82.18.117,Web-Gateway-5,Mixed,57.44,4,Mitigated
March,2025-05-06 13:06:00,138.83.161.49,Web-Gateway-2,Mixed,69.19,5,Mitigated
March,2025-05-07 07:35:00,7.45.151.65,Web-Gateway-5,Mixed,45.52,4,Mitigated
April,2025-06-08 07:14:00,140.250.207.168,Web-Gateway-4,UDP Amplification,51.95,10,Mitigated
April,2025-06-03 22:37:00,104.250.84.95,Web-Gateway-5,UDP Amplification,28.93,9,Mitigated
April,2025-06-26 10:28:00,68.57.44.162,Web-Gateway-5,TCP Flood,50.68,11,Partial
April,2025-06-25 07:58:00,253.228.78.33,Web-Gateway-5,TCP Flood,33.76,8,Mitigated
April,2025-06-22 14:17:00,102.125.123.153,Web-Gateway-4,TCP Flood,47.38,13,Partial
April,2025-06-15 00:11:00,61.205.170.47,Web-Gateway-4,TCP Flood,26.92,10,Mitigated
April,2025-06-20 17:20:00,42.148.176.166,Web-Gateway-3,UDP Amplification,50.05,6,Mitigated
April,2025-06-08 08:07:00,59.124.36.148,Web-Gateway-5,TCP Flood,32.18,10,Mitigated
April,2025-06-08 19:43:00,160.112.139.41,Web-Gateway-3,UDP Amplification,33.98,13,Partial
April,2025-06-07 15:07:00,21.119.36.3,Web-Gateway-2,UDP Amplification,32.95,10,Mitigated
April,2025-06-04 16:19:00,164.251.251.24,Web-Gateway-2,UDP Amplification,26.2,7,Mitigated
April,2025-06-15 22:11:00,29.111.41.137,Web-Gateway-4,TCP Flood,25.16,9,Mitigated
April,2025-06-21 09:34:00,107.71.24.210,Web-Gateway-2,UDP Amplification,59.42,14,Partial
April,2025-06-01 17:02:00,119.116.92.168,Web-Gateway-4,TCP Flood,42.86,11,Partial
April,2025-06-24 13:10:00,164.154.99.225,Web-Gateway-5,TCP Flood,37.2,10,Mitigated
April,2025-06-09 20:24:00,103.13.241.176,Web-Gateway-5,TCP Flood,34.76,6,Mitigated
April,2025-06-25 22:56:00,89.113.251.243,Web-Gateway-5,TCP Flood,50.29,7,Mitigated
April,2025-06-14 08:44:00,102.232.19.141,Web-Gateway-1,TCP Flood,47.72,6,Mitigated
April,2025-06-21 22:42:00,238.188.7.221,Web-Gateway-1,TCP Flood,30.32,11,Partial
April,2025-06-15 07:19:00,235.89.253.139,Web-Gateway-1,TCP Flood,26.99,6,Mitigated
April,2025-06-27 10:11:00,34.59.223.72,Web-Gateway-2,UDP Amplification,48.02,8,Mitigated
April,2025-06-03 01:28:00,15.168.183.235,Web-Gateway-2,TCP Flood,30.61,7,Mitigated
April,2025-06-04 19:36:00,236.9.213.150,Web-Gateway-2,UDP Amplification,44.02,8,Mitigated
April,2025-06-06 20:39:00,32.16.143.113,Web-Gateway-5,UDP Amplification,42.93,10,Mitigated
April,2025-06-03 23:35:00,37.113.220.127,Web-Gateway-4,TCP Flood,28.0,8,Mitigated
April,2025-06-28 13:21:00,168.134.56.218,Web-Gateway-2,UDP Amplification,43.06,12,Partial
April,2025-06-27 22:16:00,14.61.29.171,Web-Gateway-2,TCP Flood,44.17,9,Mitigated
April,2025-06-11 02:39:00,2.253.167.173,Web-Gateway-5,TCP Flood,58.29,8,Mitigated
April,2025-06-12 23:46:00,126.130.29.192,Web-Gateway-5,TCP Flood,42.9,9,Mitigated
April,2025-06-15 23:46:00,174.86.207.112,Web-Gateway-5,UDP Amplification,44.32,11,Partial
April,2025-06-08 00:11:00,119.98.119.81,Web-Gateway-1,UDP Amplification,45.82,14,Partial
April,2025-06-04 15:55:00,101.22.29.76,Web-Gateway-5,UDP Amplification,33.69,8,Mitigated
April,2025-06-08 14:20:00,197.176.73.178,Web-Gateway-2,TCP Flood,53.48,8,Mitigated
April,2025-06-07 13:34:00,119.172.118.190,Web-Gateway-5,UDP Amplification,28.16,10,Mitigated
April,2025-06-01 17:34:00,39.139.25.109,Web-Gateway-3,TCP Flood,48.63,7,Mitigated
April,2025-06-10 08:29:00,161.63.79.177,Web-Gateway-2,UDP Amplification,58.78,8,Mitigated
April,2025-06-21 15:03:00,239.210.137.251,Web-Gateway-5,UDP Amplification,31.82,10,Mitigated
April,2025-06-09 17:38:00,71.91.174.11,Web-Gateway-1,UDP Amplification,57.55,8,Mitigated
